geo	age
GSM2334105	27
GSM2334137	27
GSM2334199	27
GSM2334427	27
GSM2334583	27
GSM2333956	28
GSM2333981	28
GSM2334180	28
GSM2334327	28
GSM2333921	29
GSM2334102	29
GSM2334104	29
GSM2334195	29
GSM2334251	29
GSM2334399	29
GSM2334431	29
GSM2334082	30
GSM2334528	30
GSM2334034	31
GSM2334098	31
GSM2334136	31
GSM2334206	31
GSM2334249	31
GSM2334265	31
GSM2334408	31
GSM2334560	31
GSM2334585	31
GSM2333980	32
GSM2333998	32
GSM2334103	32
GSM2334121	32
GSM2334134	32
GSM2334338	32
GSM2334394	32
GSM2334412	32
GSM2334467	32
GSM2333909	33
GSM2334036	33
GSM2334201	33
GSM2334226	33
GSM2334329	33
GSM2334363	33
GSM2334392	33
GSM2334423	33
GSM2334527	33
GSM2334539	33
GSM2334558	33
GSM2333910	34
GSM2334110	34
GSM2334113	34
GSM2334186	34
GSM2334245	34
GSM2334339	34
GSM2334383	34
GSM2334522	34
GSM2333992	35
GSM2334106	35
GSM2334126	35
GSM2334182	35
GSM2334419	35
GSM2334422	35
GSM2334486	35
GSM2334112	36
GSM2334241	36
GSM2334269	36
GSM2334300	36
GSM2334324	36
GSM2334350	36
GSM2334401	36
GSM2334451	36
GSM2333957	37
GSM2334081	37
GSM2334236	37
GSM2334240	37
GSM2334489	37
GSM2334493	37
GSM2333908	38
GSM2333929	38
GSM2334155	38
GSM2334298	38
GSM2334312	38
GSM2334387	38
GSM2334426	38
GSM2334495	38
GSM2334504	38
GSM2334602	38
GSM2334615	38
GSM2333948	39
GSM2333993	39
GSM2334053	39
GSM2334080	39
GSM2334083	39
GSM2334196	39
GSM2334260	39
GSM2334285	39
GSM2334294	39
GSM2334434	39
GSM2334437	39
GSM2334472	39
GSM2333972	40
GSM2333978	40
GSM2334000	40
GSM2334074	40
GSM2334118	40
GSM2334220	40
GSM2334250	40
GSM2334317	40
GSM2334331	40
GSM2334433	40
GSM2334462	40
GSM2334469	40
GSM2334477	40
GSM2334521	40
GSM2334008	41
GSM2334116	41
GSM2334169	41
GSM2334215	41
GSM2334235	41
GSM2334275	41
GSM2334386	41
GSM2334498	41
GSM2333970	42
GSM2333996	42
GSM2334066	42
GSM2334255	42
GSM2334337	42
GSM2334382	42
GSM2334403	42
GSM2334420	42
GSM2334459	42
GSM2334563	42
GSM2334599	42
GSM2334001	43
GSM2334027	43
GSM2334042	43
GSM2334052	43
GSM2334099	43
GSM2334154	43
GSM2334174	43
GSM2334505	43
GSM2334550	43
GSM2333973	44
GSM2334002	44
GSM2334011	44
GSM2334055	44
GSM2334073	44
GSM2334211	44
