rownames,CD8T,CD4T,NK,Bcell,Mono,Gran,total
GSM2814070_9741779137_R05C01,0.16559870733671092,0.07724515290401537,0.0135715457559609,0.05869720257898117,0.03737312313490401,0.669377502956665,1.0218632346672372
GSM2814071_9741779137_R06C01,0.1583502419142383,0.08478703488755909,0.017242293263558445,0.057990576249045224,0.06111322777607495,0.6427628056792654,1.0222461797697415
GSM2814072_9741779137_R01C02,0.22414373794572712,0.12937177155236657,0.0991835324729271,0.0720678246831401,0.0801487302854634,0.4358548192902862,1.0407704162299105
GSM2814073_9741779137_R02C02,0.1295372103214676,0.14276380361406904,3.469446951953614e-18,0.05849100554203846,0.09015579112688792,0.6028128823019838,1.023760692906447
GSM2814074_9741779137_R03C02,0.11353301638982165,0.054711503857009104,0.017704070307919012,0.04215975420261763,0.08880585779387498,0.7067005974800625,1.0236148000313048
GSM2814075_9741779137_R04C02,0.09181356466380046,0.09151593446586262,0.03780145603314145,0.07691413831327232,0.07491068888387922,0.6563630271059936,1.0293188094659498
GSM2814076_9741779137_R05C02,0.1404430115587127,0.09820614866527376,0.005165143795133555,0.04246655941237035,0.0831166882688246,0.6490915771659911,1.018489128866306
GSM2814077_9741779137_R06C02,0.1947311203114455,0.14826625954873315,0.019323372718683996,0.06306028255778572,0.0710613146201124,0.5312125572262656,1.0276549069830263
GSM2814078_9741779130_R01C01,0.11800286699735768,0.12649101010039707,0.020693696250667682,0.11478996929434374,0.08117793629346041,0.571797687736043,1.0329531666722696
GSM2814079_9741779130_R02C01,0.07489506422750553,0.08886058352427613,0.0393861085977529,0.08159174557874825,0.08026351549719744,0.6581410812369118,1.0231380986623921
GSM2814080_9741779130_R03C01,0.09186424576353418,0.07348674141179583,0.020086376112859485,0.043301985854463,0.07258798570157071,0.7165903891452914,1.0179177239895147
GSM2814081_9741779130_R04C01,0.04310753071636609,0.00438495076264918,0.004632696256949874,0.02883186102607427,0.03506500350887116,0.8982251931710858,1.0142472354419965
GSM2814082_9741779130_R05C01,0.06881138595745881,0.08571216760569617,0.0,0.028968097811785644,0.06471360611541738,0.7629999096654663,1.0112051671558242
GSM2814083_9741779130_R06C01,0.07627658081176399,0.0977577810370629,0.0,0.04742235759547799,0.053679306947293004,0.7432782207183034,1.0184142471099014
GSM2814084_9741779130_R01C02,0.06188980902386222,0.11070244261038081,0.175002628185658,0.07172347735124925,0.09897809427292237,0.5123718306569619,1.0306682821010344
GSM2814085_9741779130_R02C02,0.09449525704635142,0.1276498947882841,0.10335635517843537,0.07524077255004628,0.06314262437515056,0.5655224969748782,1.029407400913146
GSM2814086_9741779130_R03C02,0.1394224769772811,0.18521020393340643,0.0,0.030458121313840333,0.05961518824945717,0.60167669425382,1.016382684727805
GSM2814087_9741779130_R04C02,0.08211426673818527,0.08896597788344386,0.042236891618336034,0.028103105390546182,0.05225281843741361,0.7066442642331289,1.000317324301054
GSM2814088_9741779130_R05C02,0.12434133220020337,0.1150867227495116,0.00868707197139777,0.06343146526675689,0.07768479307810927,0.6358440243646811,1.0250754096306602
GSM2814089_9741779130_R06C02,0.13843302162766763,0.09750240327639144,0.004710850671315282,0.06401227298934728,0.13959093550087165,0.5830054447035856,1.027254928769179
GSM2814090_9741779103_R01C01,0.039302173266611395,0.02571097190576271,0.0,0.02755059408751316,0.05289257561300647,0.8742815889330265,1.0197379038059202
GSM2814091_9741779103_R02C01,0.09017719877051333,0.0548890109255627,3.469446951953614e-18,0.04497237892620826,0.08787486377513863,0.7490374504661811,1.0269509028636041
GSM2814092_9741779103_R03C01,0.10672873775443364,0.11906462052954336,0.0,0.04818900466755869,0.062051149488811505,0.6694493503014235,1.0054828627417707
GSM2814093_9741779103_R04C01,0.09354261355213753,0.10219258114456677,-3.469446951953614e-18,0.06233909990043122,0.060131611283813786,0.6939977173661249,1.0122036232470744
GSM2814094_9741779103_R05C01,0.1302590332319166,0.2241375236659668,0.006363687814177794,0.0718486723746595,0.06826300696092763,0.5183113751776172,1.0191832992252654
GSM2814095_9741779103_R06C01,0.1170684712148544,0.11700192300639338,0.011987482444910911,0.061570052061518936,0.07510335287048055,0.6434611331885106,1.0261924147866688
GSM2814096_9741779103_R01C02,0.13695055179513188,0.10673905900935902,3.469446951953614e-18,0.10415102687191133,0.062112299968633676,0.6159645301099971,1.0259174677550331
GSM2814097_9741779103_R02C02,0.15945890776486876,0.07292222938684477,0.024648633137740204,0.07457073129070925,0.12167168161662438,0.5814964046103182,1.0347685878071056
GSM2814098_9741779103_R03C02,0.12753655712565784,0.10149335643973473,0.03155618772751485,0.06065603503242586,0.09793294985682587,0.6009435094326493,1.0201185956148084
GSM2814099_9741779103_R04C02,0.10702893759271462,0.08452333511542727,0.015711522160716036,0.06559781053238785,0.08656213928246319,0.6664325968810082,1.025856341564717
GSM2814100_9741779103_R05C02,0.13809247737006516,0.10035550548639748,0.025065579058812525,0.0795339660546016,0.07782265045502124,0.610499539872607,1.031369718297505
GSM2814101_9741779103_R06C02,0.12951764827544424,0.05658498793463276,0.018548255824249193,0.07683904449419095,0.08126017897868393,0.6697075570336625,1.0324576725408634
GSM2814102_9741779101_R01C01,0.1325797863723315,0.16151219203988737,0.0,0.11963050523216395,0.04891623479090629,0.5656460962691031,1.0282848147043921
GSM2814103_9741779101_R02C01,0.076337850032147,0.10659621811049834,0.0,0.08763154838791991,0.04955059448006,0.7067238340861705,1.0268400450967956
GSM2814104_9741779101_R03C01,0.14108523250866137,0.12199407123000329,0.038809497178122945,0.06491897034078863,0.06788591796178461,0.5884749337177871,1.023168622937148
GSM2814105_9741779101_R04C01,0.12734116273825044,0.08341681424650842,0.016011316296801956,0.05018524350829693,0.0637691615108801,0.6846711592638154,1.025394857564553
GSM2814106_9741779101_R05C01,0.1417747345331881,0.14014773415285295,0.00812176075335824,0.11716743111852986,0.06987033246783157,0.5545995039182577,1.0316814969440182
GSM2814107_9741779101_R06C01,0.15359909745326195,0.1564063376319864,0.031482307031825876,0.10447575877330015,0.07974375836405838,0.507025619481352,1.032732878735785
GSM2814108_9741779101_R01C02,0.039268147179184774,0.04362444120311518,0.001675490463866855,0.04717625668195752,0.09555844821810401,0.7940749869414714,1.0213777706876999
