cancer_type,recurrence,mean_beta
Pan-cancer,0.1036767141437562,0.26682521282243343
Pan-cancer,0.06492215965551507,0.22892378152042067
Pan-cancer,0.04935409075852931,0.1578247522219608
Pan-cancer,0.07618416694269625,0.15994978430636655
Pan-cancer,0.02848625372639947,0.14054046878466714
Pan-cancer,0.0788340510102683,0.23116610509402172
Pan-cancer,0.03544219940377608,0.13887791003265504
Pan-cancer,0.12918184829413712,0.2772763771432449
Pan-cancer,0.5226896323285857,0.4046706638218542
Pan-cancer,0.08744617422987744,0.24173655137834918
Pan-cancer,0.04041073203047367,0.14814872418613595
Pan-cancer,0.2789002981119576,0.4159694948455191
Pan-cancer,0.08810864524677045,0.2219246311554204
Pan-cancer,0.16561775422325273,0.31161413638022806
Pan-cancer,0.015899304405432264,0.12567976812990447
Pan-cancer,0.007949652202716132,0.12029868714742813
Pan-cancer,0.05233521033454786,0.1896684448358616
Pan-cancer,0.03875455448824114,0.13933042154490774
Pan-cancer,0.0364359059291156,0.14603883349952193
Pan-cancer,0.057966213978138455,0.19299416760702928
Pan-cancer,0.20039748261013582,0.32996797194786054
Pan-cancer,0.04306061609804571,0.1500002073998835
Pan-cancer,0.41570056310036435,0.41773444431841483
Pan-cancer,0.05134150380920835,0.1767868437247765
Pan-cancer,0.025173898641934415,0.12889120402819929
Pan-cancer,0.04968532626697582,0.1522046736223948
Pan-cancer,0.030473666777078502,0.13701369456779272
Pan-cancer,0.018549188473004307,0.12388006397861273
Pan-cancer,0.2848625372639947,0.463252574625379
Pan-cancer,0.4587611791984101,0.3710538624693878
Pan-cancer,0.016561775422325273,0.12065100255455248
Pan-cancer,0.06989069228221265,0.20293044670366595
Pan-cancer,0.545876117919841,0.4267896776727769
Pan-cancer,0.1457436237164624,0.30857437981530944
Pan-cancer,0.03246107982775753,0.13221562450238245
Pan-cancer,0.03444849287843657,0.13065708983390947
Pan-cancer,0.29314342497515733,0.3734170512566528
Pan-cancer,0.08347134812851938,0.27388993788098515
Pan-cancer,0.01888042398145081,0.12164518475466111
Pan-cancer,0.4166942696257039,0.36896695180135625
Pan-cancer,0.01093077177873468,0.12099436937839164
Pan-cancer,0.15369327591917853,0.21990755418971256
Pan-cancer,0.1023517721099702,0.2249358251442212
Pan-cancer,0.031136137793971515,0.14258021420345138
Pan-cancer,0.3501159324279563,0.48828834282993694
Pan-cancer,0.020536601523683338,0.12304472461820291
Pan-cancer,0.425968863862206,0.3692124632802238
Pan-cancer,0.09175223583968202,0.20418286429872837
Pan-cancer,0.02914872474329248,0.1380513227575301
Pan-cancer,0.28320635972176217,0.39190351963673997
Pan-cancer,0.5594567737661478,0.5423493091061659
Pan-cancer,0.10334547863530971,0.22683533447680415
Pan-cancer,0.011262007287181186,0.1172047093411778
Pan-cancer,0.0725405763497847,0.2439244451535465
Pan-cancer,0.16131169261344816,0.3655254248903165
Pan-cancer,0.1517058628684995,0.34171143104077967
Pan-cancer,0.12388208015899305,0.23827883516442094
Pan-cancer,0.05730374296124544,0.1814931232973266
Pan-cancer,0.5882742630009937,0.3600534984007011
Pan-cancer,0.06425968863862205,0.19937506920679837
Pan-cancer,0.15269956939383902,0.32338292614634795
Pan-cancer,0.14541238820801589,0.3733414803231308
Pan-cancer,0.43888704869161976,0.39730023154986055
Pan-cancer,0.3388539251407751,0.39343498165291935
Pan-cancer,0.07121563431599867,0.23297444183151053
Pan-cancer,0.06194104007949652,0.20614912555335238
Pan-cancer,0.10897648227890029,0.23497330464957217
Pan-cancer,0.3395163961576681,0.3979043930054633
