gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
ICAM5,0.1672739317654852,-0.0647400829165877,7.237978237701132e-06,-0.1668879196252597,0.0274178725624817
DYRK1B,0.1666114607485922,-0.528246153240747,0.0,-0.2195040572581606,7.425189213036882e-06
TCF7L1,0.166445842994369,-0.272424712647205,1.0141789189270792e-100,-0.1920579257384456,0.0007154600917547
RGMA,0.1632991056641272,-0.0187827219029358,634.6691987533476,-0.2031994755599468,0.0001208300668645
SKAP2,0.1632991056641272,-0.2196071448858579,5.81220491448986e-89,-0.2480106810610383,3.2685260845317575e-08
ZNF37A,0.1626366346472341,-0.0674525158997179,1.400219256178957e-06,-0.1643854813862296,0.038321958211498
PRRG4,0.1619741636303411,-0.1686252777405776,1.021603518924318e-42,-0.2441234918660166,7.143361602897079e-08
COX6B2,0.1560119244783041,-0.0548764677085114,0.0016977514500001,-0.1937784146059791,0.0005472809643376
RIPK3,0.15071215634316,-0.5988874698525856,0.0,-0.3187893141616211,1.8423577957097845e-15
HCK,0.1493872143093739,-0.0574452664984914,0.0004448191681135,-0.2564663415328158,5.6944022790191945e-09
ZNF501,0.1482278900298111,-0.4772357878850026,0.0,-0.1944142196214696,0.000495378355182
ZIK1,0.1449155349453461,-0.7346426629424633,0.0,-0.1757543131705889,0.0080438097202708
MAGI3,0.1399470023186485,-0.0670799723818199,1.966538140131584e-06,-0.2732882351164234,1.4508092481909083e-10
ABAT,0.1397813845644253,-0.0971851499500404,2.539502550881177e-16,-0.2800391955348774,3.0897225390964376e-11
CPPED1,0.139615766810202,-0.4536475975958755,0.0,-0.3079921321945353,3.2142557227935625e-14
VIPR1,0.1385668543667881,-0.1292895297413168,2.331801218409669e-29,-0.1693876988927538,0.0195266491532899
ARRDC4,0.1384564425306393,-0.1885881733326352,1.3536190969278322e-68,-0.2174465541328055,1.0689708818775929e-05
COL9A3,0.1382356188583416,-0.0564017857526279,0.0052223356250741,-0.3211186211713103,9.789772312492124e-16
FAM151B,0.1368002649884067,-0.0705604817015778,1.9231871892553813e-07,-0.2392560528800186,1.865833626965609e-07
LYN,0.1344816164292812,-0.4052136778860337,0.0,-0.1949860960200739,0.0004527844105434
RPP25,0.1318317323617091,-0.3729866448268634,7.742695564504892e-290,-0.225645880286291,2.448737829563957e-06
HLX,0.1315004968532626,-0.1180903988838203,3.058850193508229e-23,-0.1667536646553731,0.0279183453746119
CYGB,0.1308380258363696,-0.066758744726769,0.0011399980082353,-0.2086100559242136,4.908276607791971e-05
OTUB2,0.1281881417687976,-0.0803233096364294,4.8328746972848515e-08,-0.2086682911360357,4.8602664265953807e-05
GPAA1,0.1278569062603511,-0.0805654579651768,1.8636715873494868e-10,-0.2247745935871645,2.8717193410078894e-06
TRDMT1,0.1255382577012255,-0.3765377426316271,7.267195210608872e-296,-0.2544244674314743,8.735128303863934e-09
MME,0.1248757866843325,-0.1059052816933191,1.7249079612460428e-17,-0.1879065912361971,0.0013522392351571
LRRC4,0.1242133156674395,-0.4888995422057925,0.0,-0.3286542458059601,1.2184727902963482e-16
INHBB,0.1240476979132162,-0.1459637016495528,1.4449623043538003e-36,-0.2332258791571276,5.95518294926245e-07
PADI2,0.1228883736336535,-0.0763377765245204,3.902289559832634e-09,-0.2514024496397685,1.6341441423724952e-08
ST3GAL2,0.122557138125207,-0.1105766950052512,7.450769608163873e-22,-0.3250916541808538,3.2871592168897623e-16
ZNF225,0.1205697250745279,-0.0794373295720524,4.2626038015466124e-10,-0.2403088858148961,1.5186298145030606e-07
HDAC11,0.1165948989731699,-0.1261924638452816,4.597834858959396e-28,-0.249131899177341,2.6021052474767352e-08
GNG7,0.1149387214309373,-0.2758499032994813,4.809110652062541e-145,-0.1927726949020193,0.0006402741241504
KLF14,0.1104670420669095,-0.1833842432688618,2.29477135686717e-61,-0.2942022129559686,1.0464703216676977e-12
CBX1,0.1101910124765374,-0.0954730997210282,6.547417500681051e-12,-0.2917691375480545,1.897758767777247e-12
SVIL,0.1099701888042398,-0.204295252361871,5.451106704924021e-69,-0.1922921732667816,0.000689926355516
DEF8,0.1076515402451142,-0.1378670321543637,2.3975454487159147e-35,-0.3450177402355528,1.0760399706668665e-18
MBOAT2,0.1073203047366677,-0.4419592055706252,0.0,-0.2492477352197704,2.5413605203628545e-08
STXBP5,0.1069890692282212,-0.0530900246198791,0.0041647821678842,-0.2779533532074451,5.0053757902964976e-11
IRS2,0.1026830076184167,-0.2356412158662849,2.314772661935596e-109,-0.2111017767882644,3.214889337493384e-05
ISL2,0.1013580655846306,-0.0719881755360715,7.546863742643177e-08,-0.2348775366674182,4.347290925812918e-07
