"sentrix"	"sex"
"9305651206_R01C01"	"F"
"9305651206_R01C02"	"F"
"9305651206_R02C02"	"M"
"9305651206_R03C01"	"F"
"9305651206_R03C02"	"F"
"9305651206_R04C01"	"M"
"9305651206_R04C02"	"M"
"9305651206_R05C01"	"M"
"9305651206_R06C01"	"F"
"9305651206_R06C02"	"M"
"9305651211_R01C02"	"M"
"9305651211_R02C01"	"M"
"9305651211_R02C02"	"F"
"9305651211_R03C01"	"F"
"9305651211_R03C02"	"M"
"9305651211_R04C01"	"F"
"9305651211_R04C02"	"M"
"9305651211_R05C01"	"M"
"9305651211_R05C02"	"M"
"9305651211_R06C01"	"F"
"9305651211_R06C02"	"F"
"9305651212_R01C01"	"M"
"9305651212_R01C02"	"M"
"9305651212_R02C01"	"F"
"9305651212_R02C02"	"M"
"9305651212_R03C02"	"M"
"9305651212_R04C01"	"F"
"9305651212_R04C02"	"F"
"9305651212_R05C01"	"M"
"9305651212_R05C02"	"F"
"9305651212_R06C01"	"F"
"9305651212_R06C02"	"F"
"9305651219_R01C01"	"M"
"9305651219_R01C02"	"F"
"9305651219_R02C01"	"M"
"9305651219_R02C02"	"M"
"9305651219_R03C01"	"M"
"9305651219_R03C02"	"M"
"9305651219_R04C01"	"M"
"9305651219_R04C02"	"F"
"9305651219_R05C01"	"M"
"9305651219_R05C02"	"F"
"9305651219_R06C01"	"M"
"9305651219_R06C02"	"F"
"9305651232_R01C01"	"M"
"9305651232_R01C02"	"F"
"9305651232_R02C01"	"F"
"9305651232_R03C01"	"M"
"9305651232_R03C02"	"M"
"9305651232_R04C01"	"M"
"9305651232_R04C02"	"M"
"9305651232_R05C01"	"F"
"9305651232_R05C02"	"M"
"9305651232_R06C01"	"M"
"9305651232_R06C02"	"M"
"9305651235_R01C01"	"M"
"9305651235_R01C02"	"M"
"9305651235_R02C01"	"M"
"9305651235_R02C02"	"M"
"9305651235_R03C01"	"M"
"9305651235_R03C02"	"M"
"9305651235_R04C01"	"F"
"9305651235_R04C02"	"M"
"9305651235_R05C01"	"M"
"9305651235_R05C02"	"F"
"9305651235_R06C02"	"M"
"9305651240_R01C01"	"F"
"9305651240_R01C02"	"F"
"9305651240_R02C01"	"F"
"9305651240_R02C02"	"F"
"9305651240_R03C01"	"M"
"9305651240_R03C02"	"M"
"9305651240_R04C02"	"F"
"9305651240_R05C01"	"F"
"9305651240_R05C02"	"M"
"9305651240_R06C01"	"M"
"9305651240_R06C02"	"M"
"9934398153_R01C02"	"F"
"9934398153_R02C02"	"M"
"9934398153_R03C01"	"F"
"9934398153_R03C02"	"M"
"9934398153_R04C01"	"M"
"9934398153_R04C02"	"M"
"9934398153_R05C01"	"M"
"9934987129_R01C02"	"F"
"9934987129_R02C01"	"F"
"9934987129_R02C02"	"M"
"9934987129_R03C01"	"F"
"9934987129_R03C02"	"F"
"9934987129_R04C01"	"M"
"9934987129_R04C02"	"F"
"9934987129_R05C01"	"F"
"9934987129_R05C02"	"M"
"9934987129_R06C01"	"M"
"9934987129_R06C02"	"F"
"9934987130_R01C01"	"M"
"9934987130_R01C02"	"F"
"9934987130_R02C02"	"M"
"9934987130_R03C01"	"F"
"9934987130_R03C02"	"M"
"9934987130_R04C01"	"M"
"9934987130_R04C02"	"M"
"9934987130_R05C01"	"M"
"9934987130_R05C02"	"F"
"9934987130_R06C01"	"F"
"9934987130_R06C02"	"F"
"9934987133_R01C01"	"M"
"9934987133_R01C02"	"M"
"9934987133_R02C01"	"M"
"9934987133_R02C02"	"M"
"9934987133_R03C01"	"M"
"9934987133_R03C02"	"M"
"9934987133_R04C01"	"F"
"9934987133_R04C02"	"M"
"9934987133_R05C01"	"F"
"9934987133_R05C02"	"M"
"9934987133_R06C01"	"M"
"9934987133_R06C02"	"M"
"9934987134_R01C02"	"M"
"9934987134_R02C01"	"F"
"9934987134_R02C02"	"F"
"9934987134_R03C01"	"F"
"9934987134_R03C02"	"M"
"9934987134_R04C01"	"M"
"9934987134_R04C02"	"M"
"9934987134_R05C01"	"M"
"9934987134_R05C02"	"F"
"9934987134_R06C01"	"F"
"9934987134_R06C02"	"M"
"9934987138_R01C01"	"M"
"9934987138_R01C02"	"M"
"9934987138_R02C01"	"F"
"9934987138_R02C02"	"F"
"9934987138_R03C01"	"F"
"9934987138_R03C02"	"F"
"9934987138_R04C01"	"M"
"9934987138_R04C02"	"F"
"9934987138_R05C01"	"M"
"9934987138_R05C02"	"F"
"9934987138_R06C01"	"F"
"9934987138_R06C02"	"M"
"9934987145_R01C02"	"F"
"9934987145_R02C02"	"F"
"9934987145_R03C02"	"F"
"9934987145_R04C02"	"F"
"9934987145_R05C02"	"M"
"9934987145_R06C01"	"M"
"9934987145_R06C02"	"M"
"9934987147_R01C01"	"M"
"9934987147_R01C02"	"F"
"9934987147_R02C02"	"M"
"9934987147_R03C01"	"F"
"9934987147_R03C02"	"M"
"9934987147_R04C01"	"F"
"9934987147_R04C02"	"M"
"9934987147_R05C01"	"M"
"9934987147_R05C02"	"M"
"9934987147_R06C01"	"F"
"9934987147_R06C02"	"M"
"9968646008_R01C02"	"M"
"9968646008_R02C02"	"M"
"9968646008_R03C02"	"M"
"9968646008_R04C01"	"M"
"9968646008_R05C01"	"M"
"9968646008_R05C02"	"F"
"9968646008_R06C01"	"M"
"9968646008_R06C02"	"M"
"9968646036_R01C01"	"F"
"9968646036_R01C02"	"F"
"9968646036_R02C01"	"F"
"9968646036_R02C02"	"F"
"9968646036_R03C01"	"M"
"9968646036_R03C02"	"M"
"9968646036_R04C01"	"M"
"9968646036_R04C02"	"M"
"9968646036_R05C01"	"M"
"9968646036_R05C02"	"M"
"9968646036_R06C01"	"M"
"9968646036_R06C02"	"F"
"9976861149_R01C01"	"M"
"9976861149_R01C02"	"M"
"9976861149_R02C01"	"M"
"9976861149_R02C02"	"F"
"9976861149_R03C01"	"M"
"9976861149_R03C02"	"F"
"9976861149_R04C01"	"M"
"9976861149_R05C01"	"M"
"9976861149_R06C01"	"M"
